"adm2","total_tillyesterday","today","total_tilltoday","delivered_tilltotday"
"臺北市",81693,2650,84343,139700
"新北市",71024,6845,77869,106300
"桃園市",51023,3547,54570,70200
"臺中市",60785,6101,66886,73600
"臺南市",28795,411,29206,43000
"高雄市",56896,613,57509,81800
"新竹縣",8605,1882,10487,13100
"彰化縣",21448,2134,23582,30800
"雲林縣",6719,1619,8338,12700
"屏東縣",11357,1144,12501,16900
"基隆市",8128,0,8128,9500
"宜蘭縣",9044,621,9665,11600
"新竹市",9637,1257,10894,12300
"苗栗縣",6106,872,6978,8800
"嘉義市",6407,997,7404,12600
"嘉義縣",7285,794,8079,10400
"花蓮縣",8827,690,9517,13000
"臺東縣",2909,109,3018,5000
"南投縣",7119,551,7670,9900
"澎湖縣",1712,290,2002,3400
"金門縣",1049,135,1184,2300
"連江縣",650,97,747,1400
