"adm2","total_tillyesterday","today","total_tilltoday","delivered_tilltotday"
"臺北市",104663,11254,115917,141000
"新北市",104192,9524,113716,106300
"桃園市",62643,4212,66855,81100
"臺中市",82618,1960,84578,89400
"臺南市",35900,4131,40031,43000
"高雄市",74952,9850,84802,83400
"新竹縣",13175,616,13791,13600
"彰化縣",26478,1502,27980,32500
"雲林縣",11461,2162,13623,12700
"屏東縣",16638,1690,18328,17400
"基隆市",9140,48,9188,11600
"宜蘭縣",11175,725,11900,11600
"新竹市",13265,48,13313,13000
"苗栗縣",8592,724,9316,9400
"嘉義市",9544,1852,11396,12600
"嘉義縣",9426,784,10210,10400
"花蓮縣",10495,956,11451,13200
"臺東縣",4574,709,5283,5100
"南投縣",9858,739,10597,9900
"澎湖縣",2515,246,2761,3400
"金門縣",1710,401,2111,2300
"連江縣",1118,153,1271,2000
