"adm2","total_tillyesterday","today","total_tilltoday","delivered_tilltotday"
"臺北市",117345,10842,128187,141000
"新北市",113916,1291,115207,106300
"桃園市",66855,399,67254,81100
"臺中市",84593,1027,85620,89400
"臺南市",40617,2144,42761,43000
"高雄市",85760,10,85770,83400
"新竹縣",13791,0,13791,13600
"彰化縣",28060,93,28153,32500
"雲林縣",13623,344,13967,12700
"屏東縣",18360,0,18360,17400
"基隆市",9298,138,9436,11600
"宜蘭縣",11900,95,11995,11600
"新竹市",13313,0,13313,13000
"苗栗縣",9316,11,9327,9400
"嘉義市",11396,431,11827,12600
"嘉義縣",10244,23,10267,10400
"花蓮縣",11451,209,11660,13200
"臺東縣",5404,73,5477,5100
"南投縣",10597,12,10609,9900
"澎湖縣",2761,0,2761,3400
"金門縣",2111,0,2111,2300
"連江縣",1271,63,1334,2000
